"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2030.019",65200.1512884724,41784.8885626342,88615.4140143106,29389.5972186612,101010.705358284
"2030.038",65209.5738630753,41749.238225316,88669.9095008346,29330.0867230556,101089.061003095
"2030.058",65218.9964376783,41713.674317941,88724.3185574156,29270.7084106411,101167.284464715
"2030.077",65228.4190122812,41678.1963452044,88778.6416793581,29211.4615239147,101245.376500648
"2030.096",65237.8415868842,41642.8038165141,88832.8793572543,29152.3453125806,101323.337861188
"2030.115",65247.2641614871,41607.4962459283,88887.0320770459,29093.3590334548,101401.169289519
"2030.135",65256.68673609,41572.2731520941,88941.100320086,29034.5019503716,101478.871521809
"2030.154",65266.109310693,41537.1340581865,88995.0845631994,28975.7733340902,101556.445287296
"2030.173",65275.5318852959,41502.0784918498,89048.985278742,28917.1724622046,101633.891308387
"2030.192",65284.9544598989,41467.1059851385,89102.8029346593,28858.6986190542,101711.210300744
"2030.212",65294.3770345018,41432.2160744601,89156.5379945435,28800.3510956355,101788.402973368
"2030.231",65303.7996091047,41397.4083005189,89210.1909176905,28742.1291895161,101865.470028693
"2030.250",65313.2221837077,41362.68220826,89263.7621591554,28684.0322047496,101942.412162666
"2030.269",65322.6447583106,41328.0373468148,89317.2521698064,28626.0594517922,102019.230064829
"2030.288",65332.0673329135,41293.4732694476,89370.6613963795,28568.2102474205,102095.924418407
"2030.308",65341.4899075165,41258.9895335023,89423.9902815306,28510.4839146504,102172.495900383
"2030.327",65350.9124821194,41224.5857003509,89477.239263888,28452.8797826581,102248.945181581
